__FALSE__2 , 	If theres a government shutdown, people dont get their Social Security checks.	federal-budget,social-security	barack-obama	President	Illinois	democrat	a press conference
__FALSE__2 , 	Everywhere that we have more citizens carrying guns, crime is less. Theres a study showing that where states have open carry or concealed carry, but particularly open carry, the crime is down 25 percent.	crime,guns	dan-patrick	Lieutenant governor-elect	Texas	republican	an interview on NBC's "Meet the Press"
__FALSE__2 , 	The Stupak Amendment doesnt just say you cant use your federal insurance subsidy to pay for an abortion, it says, if youre getting a federal subsidy of any kind, youre not allowed to buy an insurance plan that covers abortion even with your own money.	abortion,health-care,pundits	rachel-maddow	MSNBC host		none	her show on MSNBC
__FALSE__2 , 	Says President Barack Obama already passed all these Obamacare taxes. About a dozen of them hit middle-income taxpayers.	health-care,taxes	paul-ryan	U.S. Representative	Wisconsin	republican	an interview on "Fox News Sunday"
__FALSE__2 , 	The presidents health care law raids Medicare by more than $500 billion and creates a Medicare rationing board a group of 15 unelected bureaucrats to slow the growth of Medicare spending.	health-care,medicare	scott-garrett	Congressman	New Jersey	republican	an op-ed on NorthJersey.com
__FALSE__2 , 	Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues.	voting-record	sharron-angle	Republican nominee for Nevada U.S. Senate seat	Nevada	republican	in a television ad
__FALSE__2 , 	Chile ranks third internationally in economic freedom, while the U.S. ranks 17th.	economy,foreign-policy,pundits	glenn-beck			none	a video blog post
__FALSE__2 , 	Bill McCollum said tax cuts don't work.	taxes	alex-sink		Florida	democrat	a comment on her Facebook page.
__FALSE__2 , 	The tax burden on Virginia families was lower under Tim Kaine than under George Allen.	families,taxes	tim-kaine	U.S. Senator	Virginia	democrat	a news release.
__FALSE__2 , 	Says a Barack Obama black imposter joke got a standing ovation at San Angelo rodeo.	polls	chain-email			none	a chain email.
__FALSE__2 , 	Already in Wisconsin we have seen fewer people pursuing education as a career due to the Act 10 collective bargaining law.	education,state-budget,state-finances,workers	mary-burke	Madison school board member	Wisconsin	democrat	an interview
__FALSE__2 , 	Miami-Dade County is the No. 1 donor county in the state.	state-budget,taxes	rene-garcia	state senator	Florida	republican	a Florida Cabinet meeting
__FALSE__2 , 	Judging by a recent vote, Rep. Debbie Wasserman Schultz thinks its okay for medical marijuana patients to go to federal prison.	crime,criminal-justice,drugs,marijuana	americans-safe-access		Washington D.C.	organization	a TV ad
__FALSE__2 , 	Here in Florida, Ive slashed government by 10 percent. That's $7 billion.	state-budget	charlie-crist		Florida	democrat	radio advertisement for U.S. Senate campaign
__FALSE__2 , 	Says the initial Portland plastic bag ban represented only a modest share of total single-use checkout bag use.	city-government	sam-adams	Mayor of Portland	Oregon	democrat	a proposed ordinance.
__FALSE__2 , 	Says that President Obama said if Congress passed the economic stimulus bill, we would have unemployment at 8 percent and no higher. And it went higher.	pundits,stimulus,abc-news-week	george-will	Columnist	Maryland	columnist	ABC's "This Week"
__FALSE__2 , 	The Obama administration gave Iran $400 million in ransom payment cash.	foreign-policy,nuclear,terrorism	donald-trump	President-Elect	New York	republican	remarks in Michigan
__FALSE__2 , 	Not one dime gets added to the deficit because of Social Security.	deficit,disability,retirement,social-security	mark-pocan	State Assembly member, 78th District	Wisconsin	democrat	an interview
__FALSE__2 , 	A president must "obtain Congress' consent before formally accepting the Nobel Prize."	foreign-policy,legal-issues	ginny-brown-waite	Congresswoman	Florida	republican	a letter to President Obama
__FALSE__2 , 	Says that 9 million to 50 million undocumented immigrants live in the United States.	immigration,population	texas-federation-republican-women			republican	an approved resolution.
__FALSE__2 , 	Says Mitt Romney belittled middle-class tax cuts as nothing more than little Band-Aids.	taxes	florida-democratic-party		Florida	democrat	a news release
__FALSE__2 , 	Half of all hospitalized seniors are suffering from malnutrition so severe that it either caused their illness or it prevents them from getting better.	health-care,hunger,poverty	meals-wheels-rhode-island		Rhode Island	organization	a fundraising letter
__FALSE__2 , 	Under conservative leadership, Congress has reduced the federal deficit by 60 percent nearly $800 billion.	congress,deficit,economy,federal-budget	american-action-network			republican	a newspaper ad
__FALSE__2 , 	Says Patrick Murphy never worked as a CPA and was never a small business owner.	candidates-biography	national-republican-senatorial-committee			republican	a TV ad
__FALSE__2 , 	Texas high school graduation rate went from 27th in the country in 2002, to second highest in the country in 2013.	education,states	rick-perry	Governor	Texas	republican	a speech at the National Press Club
__FALSE__2 , 	Because of the health care act, The people who have health care and like it in this county are not going to be able to keep what they have.	health-care	eric-cantor	House Majority Leader	Virginia	republican	a TV interview.
__FALSE__2 , 	The war spending bill actually spends more money on the International Monetary Fund than on the war.	military	lynn-westmoreland			republican	a press release on the House GOP's blog.
__FALSE__2 , 	Robert Hurt supported a bill that helped the uranium industry after taking contributions from the industry and because his father had a stake in it.	energy,campaign-advertising	sierra-club			none	a TV ad
__FALSE__2 , 	Sherrod Brown supported President Obamas $453 billion tax increase.	economy,jobs,message-machine-2012,taxes	crossroads-gps	Conservative advocacy group		republican	a television ad
__FALSE__2 , 	Says the federal government hosted a conference and ordered 250 muffins at 16 bucks a piece.	federal-budget,pundits	bill-oreilly	Fox News Channel host		none	an interview on "The Daily Show"
__FALSE__2 , 	Says Kurt Schrader voted to cut $500 billion from Medicare, threatening thousands of Oregon seniors and their access to their current coverage.	health-care,medicare,message-machine	scott-bruun	State representative	Oregon	republican	a television ad
__FALSE__2 , 	In six years, (U.S. Rep. Gary) Peters introduced zero bills that became law.	congress,corrections-and-updates,voting-record	ending-spending-action-fund			independent	a campaign ad
__FALSE__2 , 	Obamacare will drive 2.5 million Americans out of the workforce.	health-care,jobs	rick-scott	Governor	Florida	republican	a television ad from Let's Get to Work
__FALSE__2 , 	Peter Kilmartin voted for the 38 Studios loan guarantee and his State House job was to twist [legislators] arms to vote for deals like this.	bankruptcy,baseball,economy,history,jobs,message-machine-2014,campaign-advertising,state-budget,state-finances	dawson-hodgson	State Senator	Rhode Island	republican	a radio commercial
__FALSE__2 , 	Says Sean Duffy was a no-show as Ashland County District Attorney while he was on the campaign trail	job-accomplishments,message-machine	julie-lassa	State Senator, 24th District	Wisconsin	democrat	a campaign TV ad
__FALSE__2 , 	Says after leaving the White House, Hillary Clinton was forced to return an estimated $200,000 in White House china, furniture and artwork that she had stolen.	ethics	viral-image			none	a post shared on Facebook
__FALSE__2 , 	Georgia is the Saudi Arabia of pine trees.	energy	georgia-politicians			none	 political campaign
__FALSE__2 , 	I turned a $110 million deficit into a $1.6 million surplus for our city.	candidates-biography,city-budget,city-government,debt,deficit,economy,history,taxes,unions	angel-taveras	Mayor of Providence	Rhode Island	democrat	a fundraising letter
__FALSE__2 , 	Under the plan, for the first five years your employer not only has to keep the coverage, but you can't migrate to the public plan.	health-care	anthony-weiner		New York	democrat	an interview on "Fox and Friends"
__FALSE__2 , 	Says Bill Pascrell voted to eliminate all estate taxes for billionaires, and I voted no.	message-machine-2012,taxes	steve-rothman			democrat	a video posted on YouTube
__FALSE__2 , 	Says the NAACPs Ohio chapter has endorsed Issue 2.	elections,redistricting	voters-first-ohio		Ohio	none	a news story
__FALSE__2 , 	John McCain has changed position on invading Iraq.	iraq	joe-biden	U.S. senator	Delaware	democrat	a television interview
__FALSE__2 , 	The Democrat majority in the Senate has failed to submit [a] budget in the past 1,000 days.	federal-budget	johnny-isakson	U.S. Senator	Georgia	republican	a press release
__FALSE__2 , 	Says Texas Republican leaders have proposed laying off thousands of teachers.	education,jobs	boyd-richie	Texas Democratic Party chair	Texas	democrat	a press release.
__FALSE__2 , 	The Democratic health care bill in the House would create 53 new government bureaucracies.	health-care	charles-boustany		Louisiana	republican	response to President Obama's health care address to Congress
__FALSE__2 , 	Under the DREAM Act, after two years of higher education or military service you are eligible for citizenship. Once a citizen, this paves the way to bring the rest of (your) extended family to the United States.	immigration	ted-poe	U.S. House Representative	Texas	republican	an opinion piece
__FALSE__2 , 	The Obama administrations green stimulus program funneled close to $2 billion dollars to overseas firms, creating thousands of jobs in China.	china,jobs,message-machine-2012,stimulus	americans-tax-reform			none	a mailer to voters
__FALSE__2 , 	In many instances, (peoples) health care costs are more than their mortgage costs or their rent, which, by the way, is a first in American history.	economy,government-regulation,health-care,history,market-regulation	donald-trump	President-Elect	New York	republican	a speech
__FALSE__2 , 	Says Vince Polistina is collecting nearly $70,000 in taxpayer-funded salaries -- plus a government pension.	income,pensions	new-jersey-democratic-state-committee		New Jersey	democrat	a political mailer
__FALSE__2 , 	Says Charlie Crist and Missouri Rep. Todd Akin hold same abortion views. No exception except the life of the mother.	abortion,candidates-biography	lenny-curry	chairman of the Republican Party of Florida	Florida	republican	a tweet
__FALSE__2 , 	Not even expensive bottled water, like Perrier and Evian, are of good enough quality to pump out of mines in Southwest Virginia, according to the EPA regulation.	environment	morgan-griffith	U.S. Congressman	Virginia	republican	an e-mail newsletter and House floor speech.
__FALSE__2 , 	Says Catherine Cortez Masto was happy to line her own pockets with taxpayer dollars when state employees were slammed with frozen salaries.	candidates-biography	national-republican-senatorial-committee			republican	a blog post 
__FALSE__2 , 	The climate-change agreement between the United States and China requires the Chinese to do nothing at all for 16 years.	china,climate-change,environment,foreign-policy	mitch-mcconnell	Senate minority leader	Kentucky	republican	a media availability
__FALSE__2 , 	Wisconsin election officials to accept Mickey Mouse, Hitler signatures on recall petitions.	elections,legal-issues	maciver-institute	Think tank	Wisconsin	independent	a video
__FALSE__2 , 	The Obama administration supported Muslim allies trying to establish a new international blasphemy standard.	civil-rights,foreign-policy,religion,terrorism	jonathan-turley			none	a "Washington Post" op-ed
__FALSE__2 , 	Mitt Romney made over a hundred million dollars by shutting down (a Marion, Ind. paper) plant.	candidates-biography,corporations,message-machine-2012	priorities-usa-action			democrat	in a TV ad
__FALSE__2 , 	Says Hillary Clinton and Tim Kaine want to expand (Obamacare) into a single-payer program.	drugs,health-care,history	mike-pence	Governor	Indiana	republican	the 2016 Vice Presidential debate
__FALSE__2 , 	Germany is crime-riddled right now because of migration to Europe.	crime,criminal-justice,human-rights,immigration,public-safety	donald-trump	President-Elect	New York	republican	an interview with NBC News
__FALSE__2 , 	Black Lives Matter, who are attacking law enforcement officers -- Barack Obama had them to the White House.	civil-rights,crime,criminal-justice	sean-duffy	Member of the U.S. House	Wisconsin	republican	an interview
__FALSE__2 , 	Says Texas has more than 80,000 abortions each year.	abortion	jonathan-stickland	State representative	Texas	republican	a tweet
__FALSE__2 , 	Says Adam Hasner gives the wealthy tax breaks worth $250,000 a year but hikes middle class taxes $2,000.	message-machine-2012,taxes	lois-frankel		Florida	democrat	a television ad
__FALSE__2 , 	The group that supported the presidents health care bill the most? Latinos.	health-care	david-plouffe	Senior Adviser to the President		democrat	an interview
__FALSE__2 , 	John McCain intervened, which helped Airbus get that Pentagon contract.	ethics,military	campaign-money-watch			none	a TV ad
__FALSE__2 , 	It was Hillary Clinton who left Americans in harms way in Benghazi and after four Americans fell said, What difference at this point does it make?	candidates-biography	mike-pence	Governor	Indiana	republican	the Republican national convention
__FALSE__2 , 	Says that when San Francisco banned plastic grocery bags, you saw the number of instances of people going to the ER with things like salmonella and other related illnesses spike.	environment,health-care,public-health	james-quintero	Director, Center for Local Governance, Texas Public Policy Foundation	Texas	none	a panel discussion at SXSW Eco
__FALSE__2 , 	President Barack Obamas health care reform slashed $500 billion from Medicare.	health-care,medicare,public-health	sean-duffy	Member of the U.S. House	Wisconsin	republican	a news release
__FALSE__2 , 	In Ohio, each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.	children,trade	joyce-beatty	Member of Congress	Ohio	democrat	in a press conference
__FALSE__2 , 	The [Obama] administrations regulatory assault on coal-fired energy has put thousands of Americans out of work	energy,environment,jobs	roy-blunt	Senator	Missouri	republican	a news release
__FALSE__2 , 	Says Tri-Rail shows the potential problems with investing in high-speed rail.	state-budget,stimulus,transportation	rick-scott	Governor	Florida	republican	an interview with CNN.
__FALSE__2 , 	Mark Warner cast the tiebreaking vote to pass Obamacare.	health-care,voting-record	ken-cuccinelli	Attorney General	Virginia	republican	an interview.
__FALSE__2 , 	Republicans dont think its a good idea to make the child care tax credit stronger.	children,taxes	barack-obama	President	Illinois	democrat	a response to a question during an appearance in Columbus, Ohio.
__FALSE__2 , 	Kelly Ayotte voted for a budget that had $90 billion of cuts to Pell Grants.	education,voting-record	maggie-hassan	Candidate for governor	New Hampshire	democrat	a debate
__FALSE__2 , 	About two-thirds of Medicaid beneficiaries are children, but they account for one-third of the programs cost, while one-third are elderly, and they account for two-thirds of the cost.	children,federal-budget,health-care	sherrod-brown	U.S. Senator	Ohio	democrat	an interview on MSNBC
__FALSE__2 , 	Says Tom Cottons vote in Congress to change Medicare will increase out-of-pocket expenses for every senior in Arkansas.	health-care,medicare,retirement	mark-pryor	U.S. Senator	Arkansas	democrat	a campaign ad
__FALSE__2 , 	Our campaign depends on small donations for the majority of our support.	campaign-finance	hillary-clinton	Presidential candidate	New York	democrat	a victory speech after the March 15 primaries
__FALSE__2 , 	The American Conservative Union gives [Rep. Tim] Ryan a dismal 0.0 percent rating for the billions he has contributed to our national debt.	deficit,federal-budget	marish-agana	Pediatrician	Ohio	republican	a news release announcing her candidacy
__FALSE__2 , 	Says he hasnt changed his view on abortion restrictions.	abortion	charlie-crist		Florida	democrat	a TV interview
__FALSE__2 , 	Democrats are cutting our school funding. Four times in the last 10 years before we came into office.	education	bruce-rauner	Governor	Illinois	republican	a speech at the Illinois State Fair
__FALSE__2 , 	Says President Barack Obama himself has granted waivers allowing into the United States refugees who provided material support to terrorists.	immigration,terrorism	greg-abbott	governor	Texas	republican	a press conference with Sen. Ted Cruz
__FALSE__2 , 	Under Barack Obama, the U.S. now has the lowest workforce since (President Jimmy) Carter.	economy,history,jobs,message-machine-2012	american-future-fund			organization	a campaign ad
__FALSE__2 , 	(Assembly Democrats) wanted to raise the gas tax by $2.4 billion. We said no to that....Theyre down on the ground. Theyre sweating. Theyre twitching. Its ugly, cause I keep saying no.	taxes	chris-christie	Governor of New Jersey	New Jersey	republican	a video posted on YouTube
__FALSE__2 , 	Says Patrick Murphy switched his vote on All Aboard Florida ... because his father tried to get in a bid to build it and was unsuccessful.	congress,transportation	alan-grayson	U.S. House of Representatives	Florida	democrat	an interview with CBS4
__FALSE__2 , 	Says U.S. Sen Sherrod Brown promised that the first stimulus bill would fund the Brent Spence Bridge.	infrastructure,stimulus	josh-mandel	Ohio treasurer	Ohio	republican	a news release
__FALSE__2 , 	Tampa got more (federal housing) money because they scored higher on the blight scoring system, so theyve got a much bigger problem than we do.	housing,urban	bill-foster	Mayor, St. Petersburg	Florida	republican	a mayoral forum
__FALSE__2 , 	The Manchin-Toomey amendment would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members to get government approval.	corrections-and-updates,guns	national-rifle-association			none	a statement
__FALSE__2 , 	McCain Trying to Have it Both Ways on Iraq	iraq	democratic-national-committee			none	a news release
__FALSE__2 , 	The reason we even have colleges is that at some point there were politicians who said, You know what? We should start colleges.	education,history	barack-obama	President	Illinois	democrat	an interview with YouTube celebrity Bethany Mota
__FALSE__2 , 	If the General Assembly does not address the states structural deficit, more than 23,000 education professionals will be immediately yanked out of Pennsylvania schools.	state-budget	tom-wolf	Candidate for governor	Pennsylvania	democrat	his budget proposal address
__FALSE__2 , 	Says President Obamas new immigration plan is amnesty.	immigration	jim-demint	President, Heritage Foundation	South Carolina	republican	a news release
__FALSE__2 , 	In 2004, "20 percent of U.S. households were getting about 75 percent of their income from the federal government. ... Another 20 percent were receiving almost 40 percent."	economy,federal-budget,medicare,retirement,social-security,taxes	paul-ryan	U.S. Representative	Wisconsin	republican	a speech to the Oklahoma Council of Public Affairs
__FALSE__2 , 	In Europe, church attendance rates (are) in the single digits because churches are supported by taxes.	new-hampshire-2012	rick-santorum		Pennsylvania	republican	a house party in Henniker, N.H.
__FALSE__2 , 	Says George LeMieux even compared Marco Rubio to Barack Obama.	candidates-biography	adam-hasner		Florida	republican	an Internet ad
__FALSE__2 , 	Says the government has gotten the TARP money back plus a profit.	financial-regulation	bill-clinton	former president	Arkansas	democrat	an interview on "The Daily Show"
__FALSE__2 , 	Points of Light is the worlds largest volunteer organization.	job-accomplishments	michelle-nunn	Chief Executive Officer, Points of Light Foundation	Georgia	democrat	television ad
__FALSE__2 , 	We came out of the White House not only dead broke, but in debt.	candidates-biography,elections	hillary-clinton	Presidential candidate	New York	democrat	an interview on ABC
__FALSE__2 , 	Ive been here almost every day.	civil-rights,crime,criminal-justice	jay-nixon	Governor	Missouri	democrat	on ABC's "This Week"
__FALSE__2 , 	In the early 1980s, Sen. Edward Kennedy secretly offered to help Soviet leaders counter the Reagan administrations position on nuclear disarmament.	bipartisanship,congress,foreign-policy,history	mackubin-thomas-owens	senior fellow, Foreign Policy Research Institute	Rhode Island	columnist	a commentary in The Providence Journal
__FALSE__2 , 	Says an EPA permit languished under Strickland but his new EPA director got it done in two days.	environment,government-efficiency	john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	a news conference
__FALSE__2 , 	Wisconsin is on pace to double the number of layoffs this year.	jobs	katrina-shankland	State representative	Wisconsin	democrat	a news conference
__FALSE__2 , 	Says John McCain has done nothing to help the vets.	military,veterans,voting-record	donald-trump	President-Elect	New York	republican	comments on ABC's This Week.
__FALSE__2 , 	Says 57 percent of federal spending goes to the military and just 1 percent goes to food and agriculture, including food stamps.	federal-budget,military,poverty	facebook-posts	Social media posting		none	a meme on social media
__FALSE__2 , 	Ronald Reagan faced an even worse recession than the current one.	economy,history	sarah-palin		Alaska	republican	her book, Going Rogue
__FALSE__2 , 	Says Charlie Crist is embroiled in a fraud case for steering taxpayer money to a de facto Ponzi scheme.	jobs,state-budget	republican-party-florida			republican	a TV ad
__FALSE__2 , 	Its been since 1888 that a Senate of a different party than the president in the White House confirmed a Supreme Court nominee.	congress,supreme-court	cory-gardner	U.S. House of Representatives	Colorado	republican	a talk show
__FALSE__2 , 	Under Rosemary Lehmberg, the Travis County D.A.s office convened the grand jury that indicted Rick Perry.	crime,criminal-justice	sarah-palin		Alaska	republican	a commentary
__FALSE__2 , 	A proposed tax to fund transportation projects would spend $90,000 to take a single vehicle off the road during the morning and afternoon commute.	transportation	steve-brown	Fayette County Commissioner	Georgia	republican	a forum hosted by The Atlanta Journal-Constitution
__FALSE__2 , 	When undocumented children are picked up at the border and told to appear later in court ... 90 percent do not then show up.	children,foreign-policy,immigration,legal-issues	jeff-flake	U.S. Senator	Arizona	republican	an interview on the PBS "News Hour"
__FALSE__2 , 	I did not play any role in bringing the company to RI as did others in government. I was tasked with handling the legislation affecting the company by my superiors.	bankruptcy,debt	steven-costantino	House Finance Chairman 	Rhode Island	democrat	a statement
__FALSE__2 , 	The tax cut deal is giving $700 billion to millionaires and billionaires.	deficit,economy,taxes	sherrod-brown	U.S. Senator	Ohio	democrat	a CNN interview
__FALSE__2 , 	A strong bipartisan majority in the House of Representatives voted to defund Obamacare.	congressional-rules,federal-budget,health-care	ted-cruz	Senator	Texas	republican	a news release
__FALSE__2 , 	What the facts say is ...the best scenario for kids is a loving mom and dad.	children,diversity	reince-priebus	Chairman, Republican National Committee	Wisconsin	republican	comments on "Meet the Press"
__FALSE__2 , 	Says Mark Neumann = Nancy Pelosi	federal-budget,infrastructure,message-machine,transportation,voting-record	scott-walker	Milwaukee County Executive	Wisconsin	republican	campaign TV and radio ads
__FALSE__2 , 	On banning earmarks.	federal-budget	bill-nelson		Florida	democrat	Senate floor votes
__FALSE__2 , 	A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.	civil-rights,immigration,privacy,technology	facebook-posts	Social media posting		none	a Facebook post
__FALSE__2 , 	Half of children struck by cars near schools are hit by parents driving children to school.	transportation	safe-routes-schools	safety program	Oregon	none	a mailer
__FALSE__2 , 	Birth control pioneer Margaret Sanger wasan active participant in the Ku Klux Klan.	abortion	william-obrien	Speaker of the House of Representatives	New Hampshire	republican	a Facebook post
__FALSE__2 , 	U.S. Rep. Lloyd Doggett is the most liberal man in the United States Congress.	bipartisanship,candidates-biography	donna-campbell	Physician	Texas	republican	a speech
__FALSE__2 , 	Says state Senate President Stephen Sweeney gave us the nations highest income tax rates, driving out jobs.	income,jobs,message-machine-2012,taxes	americans-prosperity-new-jersey			none	a television ad posted on YouTube
__FALSE__2 , 	On an income cap for recipients of the popular HOPE scholarship	education	jason-carter	State Senator	Georgia	democrat	forum
__FALSE__2 , 	Many of the founding fathers were very actively involved in cockfighting.	animals,history	matt-bevin	Investment manager	Kentucky	republican	a radio interview
__FALSE__2 , 	I can tell you that the enhanced interrogation techniques that have since been banned by this administration specifically waterboarding work.	afghanistan,bush-administration,candidates-biography,ethics,foreign-policy,homeland-security,human-rights,iraq,public-safety,terrorism	todd-wilcox		Florida	republican	a newspaper interview
__FALSE__2 , 	Virginia has made no progress on jobs since Bob McDonnell took office.	jobs,message-machine-2012	democratic-party-virginia		Virginia	democrat	a web video
__FALSE__2 , 	The Iraq Study Group reported that (Saddam Hussein) had designs on reviving his nuclear program.	iraq	fred-thompson	Actor	Tennessee	republican	a debate in Dearborn, Mich.
__FALSE__2 , 	On whether global warming is man-made.	climate-change,environment	sarah-palin		Alaska	republican	Fairbanks, Alaska
__FALSE__2 , 	Says Hillary Clinton has donated every cent shes ever earned from speaking fees to charity.	candidates-biography	occupy-democrats			organization	a post on Facebook
__FALSE__2 , 	Charlottes anti-discrimination ordinance would have opened all bathrooms to all sexes at all times if it hadnt been overturned.	city-government,gays-and-lesbians,government-regulation,public-safety	dan-forest	Lieutenant Governor	North Carolina	republican	a tweet
__FALSE__2 , 	On pay for fired Milwaukee police officers	state-budget	alberta-darling	State Senator, 8th District	Wisconsin	republican	an interview
__FALSE__2 , 	Says CNN reported Ben Carson was taking a break from campaigning and the Cruz campaign forwarded that news to our volunteers.	candidates-biography	ted-cruz	Senator	Texas	republican	the New Hampshire GOP debate
__FALSE__2 , 	There is no record of congresswoman Betty Sutton ... ever holding a single in-person town hall meeting open to the general public.	job-accomplishments	jim-renacci	U.S. representative 	Ohio	republican	a news release
__FALSE__2 , 	On the Bush tax cuts.	taxes	john-mccain	U.S. senator	Arizona	republican	flip-o-meter
__FALSE__2 , 	In rural Virginia, Sen. Warner ran 8-10 points ahead of a traditional Democrat -- ahead of Senator Kaine, ahead of Governor McAuliffe.	elections	david-hallock	Aide	Virginia	democrat	a forum
__FALSE__2 , 	I can tell you with certainty (capandtrade)would have a devastating impact on our economy.	cap-and-trade,climate-change	marco-rubio	U.S. Senator	Florida	republican	an interview on CBS' Face the Nation
__FALSE__2 , 	Mitt Romney left Massachusetts $1 billion in debt.	deficit,job-accomplishments,message-machine-2012,state-budget,state-finances	red-white-and-blue-fund			none	a campaign ad
__FALSE__2 , 	The fact is the Clinton Foundation has got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.	candidates-biography	reince-priebus	Chairman, Republican National Committee	Wisconsin	republican	comments on "The Mike Gallagher Show"
__FALSE__2 , 	Gov. Romney himself, with 28 other Republican governors, supported policies that would have eliminated the time limits in the welfare reform law and allowed people to stay on welfare forever.	welfare	jay-carney	White House press secretary	District of Columbia	none	a press White House press briefing
__FALSE__2 , 	Under Lt. Gov. Lee Fisher, Ohio is 44th in the country in terms of getting money actually into worker retraining.	economy,government-efficiency,jobs	rob-portman	U.S. senator from Ohio	Ohio	republican	a debate
__FALSE__2 , 	Im well aware that medical marijuana is a recognized, medical, viable treatment for this sort of [pancreas] pain condition.	candidates-biography,crime,drugs,health-care,legal-issues,marijuana,public-health	robert-watson	lawyer	Rhode Island	republican	a speech on the House floor
__FALSE__2 , 	Right now, an employer has more of a chance of getting hit by lightning than be prosecuted for hiring an undocumented worker. That has to change.	immigration	barack-obama	President	Illinois	democrat	Las Vegas
__FALSE__2 , 	Says an Obama administration policy prohibits people who work with at-risk youth from promoting marriage as a way to avoid poverty.	marriage,poverty	rick-santorum		Pennsylvania	republican	a debate in South Carolina
__FALSE__2 , 	Loranne Ausley voted six times to tax your savings.	taxes	republican-party-florida			republican	statements on the party's website.
__FALSE__2 , 	The percentage of black children born without a father in the home has risen from 7 percent in 1964 to 73 percent today, due to changes from President Lyndon Johnsons Great Society.	children,families,marriage,poverty	facebook-posts	Social media posting		none	a meme on the Internet
__FALSE__2 , 	ACORN could get up to $8.5 billion more tax dollars despite being under investigation for voter registration fraud in a dozen states.	federal-budget	michele-bachmann	Congresswoman	Minnesota	republican	a press release
__FALSE__2 , 	The Obama administration leaked information, deliberately or otherwise, that led to the identification of the Pakistani doctor that helped us in achieving our goals and killing bin Laden.	foreign-policy,message-machine-2012,military,terrorism	special-operations-opsec-education-fund			none	a web video
__FALSE__2 , 	Says President Barack Obama spent nearly a trillion dollars on make-work government jobs.	economy,federal-budget,jobs,stimulus	rand-paul	Candidate for U.S. Senate and physician	Kentucky	republican	a response to the State of the Union address
__FALSE__2 , 	Says If you compare the Portland Metro area to the CDCs statewide cavity rates ... the Portland Metro area would actually rank as having the 15th lowest cavity rate in the U.S.	public-health,water	clean-water-portland			organization	a campaign flier
__FALSE__2 , 	Says Republican Rep. Charlie Dent wants to kick the Freedom Caucus out of the Republican conference for voting our conscience.	congress,congressional-rules,corrections-and-updates	dave-brat	College professor	Virginia	republican	comments on "Meet the Press"
__FALSE__2 , 	He was offered medical care for his injuries if he would give up military information in return. John McCain said, 'No.' 	candidates-biography	fred-thompson	Actor	Tennessee	republican	a speech at the Republican National Convention
__FALSE__2 , 	Obamacare ... will kill jobs across America.	health-care,jobs,message-machine-2012	us-chamber-commerce			none	a television ad
__FALSE__2 , 	Says his bill, HB 97, would prevent the use of taxpayer dollars on abortions.	abortion,health-care	matt-gaetz	State Representative	Florida	republican	comments before a House subcommittee
__FALSE__2 , 	When he worked for ATT, he "was responsible for large parts in a $5 billion organization."	job-accomplishments	john-albers			republican	
__FALSE__2 , 	Of the roughly 15 percent of Americans who dont have health insurance, half of them made more than $50,000 a year.	health-care,income	rand-paul	Candidate for U.S. Senate and physician	Kentucky	republican	an interview on Comedy Central's "The Daily Show"
__FALSE__2 , 	Says House Democrats voted to use your tax dollars for abortions by voting against bill defunding Planned Parenthood.	abortion,health-care,public-health	tennessee-republican-party		Tennessee	republican	a mailer sent for a state legislative campaign.
__FALSE__2 , 	McCain "has opposed stem cell research."	health-care	barack-obama	President	Illinois	democrat	a radio ad
__FALSE__2 , 	The EPA wants to hire 230,000 new government regulators that will cost the taxpayer $21 billion.	environment,federal-budget,market-regulation	allen-west	U.S. representative, Florida District 22	Florida	republican	a TV interview
__FALSE__2 , 	If the Trans-Pacific Partnership is fast-tracked through the Senate, it wont receive a committee assignment and the consideration will include no debate.	congressional-rules,trade	chain-email			none	a chain email
__FALSE__2 , 	Victory! Republicans by 2 to 1 vote to endorse Mark Neumann on first ballot at GOP convention.	elections	mark-neumann	Developer and homebuilder	Wisconsin	republican	a website alert
__FALSE__2 , 	All four on Mount Rushmore, they were all independents at one critical point in their career.	elections,history	larry-pressler	Candidate for U.S. Senate	South Dakota	independent	a campaign forum
__FALSE__2 , 	We didnt go out asking people to join the stand your ground task force.	crime,public-safety	jennifer-carroll	Lieutenant governor	Florida	republican	Capitol news conference
__FALSE__2 , 	Giant companies like Toyota will not locate in a state that has not passed a right-to-work law	corporations,economy,jobs,labor,unions	stephen-laffey	farmer	Colorado	republican	a radio interview
__FALSE__2 , 	Rhode Islands unemployment insurance system is the most expensive such system in the country.	economy,government-efficiency,government-regulation,small-business,state-budget,state-finances,states,taxes,workers	kenneth-block	businessman		republican	an interview on Rhode Island Public Radio
__FALSE__2 , 	Says the estate tax, in many cases, forces family farmers and small businesses owners to sell their holdings.	agriculture,families,small-business,taxes	robert-hurt	U.S. Congressman	Virginia	republican	a statement.
